PID,ID,Miner,Time
"Root Node","1",0,0
"1","2",95,8.06
"2","3",98,20.09
"2","4",8,22.12
"2","5",54,28.37
"5","6",8,39.2
"5","7",38,40.03
"7","8",67,54.27
"7","9",83,61.78
"9","10",94,88.52
"9","11",74,89.44
"11","12",51,124.59
"11","13",27,129.5
"11","14",40,129.63
"14","15",76,157.67
"15","16",94,172.09
"15","17",99,177.16
"15","18",76,181.02
"18","19",87,211.63
"18","20",10,214.59
"18","21",61,221.14
"21","22",78,249.53
"21","23",60,254.57
"21","24",82,254.63
"21","25",46,258.41
"21","26",91,258.62
"26","27",11,289.6
"26","28",19,292.84
"26","29",71,294.86
"26","30",43,295.24
"30","31",94,306.31
"30","32",91,307.73
"30","33",17,308.58
"30","34",52,312.85
"34","35",76,329.53
"34","36",59,337.27
"36","37",62,357.84
"36","38",56,367.47
"37","39",67,372.7
"37","40",0,374.11
"40","41",66,413.93
"40","42",15,415.25
"41","43",65,424.85
"42","44",59,427.66
"42","45",96,432.49
"45","46",18,443.1
"45","47",48,443.22
"45","48",74,445.54
"45","49",28,450.41
"49","50",34,466.01
"49","51",18,467.52
"49","52",99,468.74
"49","53",75,469.48
"53","54",91,483.61
"53","55",85,489.14
"53","56",75,490.86
"54","57",51,493.87
"57","58",6,507.33
"57","59",90,514.72
"59","60",18,526.75
"59","61",91,528.6
"61","62",49,538.6
"62","63",75,548.8
"62","64",95,551.09
"64","65",64,572.43
"65","66",74,583.86
"65","67",0,591.96
"65","68",46,593.42
"66","69",54,594.27
"69","70",52,632.05
"70","71",85,645.89
"71","72",5,692.52
"71","73",97,695.25
"71","74",91,697.89
"74","75",45,709
"74","76",77,715.54
"75","77",79,719.82
"77","78",23,738.25
"78","79",32,756.61
"79","80",4,769.92
"79","81",47,774.07
"79","82",77,775.9
"82","83",53,798.78
"83","84",70,809.03
"83","85",67,818.14
"83","86",19,818.36
"84","87",85,827.22
"87","88",50,839.31
"88","89",12,849.55
"89","90",59,869.02
"90","91",67,884.77
"90","92",0,886.14
"92","93",69,897.56
"92","94",85,904.89
"92","95",84,907.18
"93","96",96,909.76
"95","97",49,917.42
"95","98",41,917.92
"95","99",28,918.27
"98","100",1,928.03
"99","101",99,934.6
"101","102",73,955.92
"102","103",60,968.36
"102","104",55,970.82
"104","105",12,983.37
"104","106",22,988.08
